Ticker,Nome,Preço,MFI,MFI2,Status,Zona,Trend,Signal,Signal Type,Signal Date,OB Cross,OS Cross,Volume Médio,Setor
SMTO3.SA,SAO MARTINHOON      NM,21.0,100.0,87.58,🔴 Sobrecompra,🔵 Tendência de Alta,ALTA,SAÍDA,SOBRECOMPRA,2026-08-30,True,False,2420370,Basic Materials
AXIA3.SA,AXIA ENERGIAON      NM,55.7,100.0,49.8,🔵 Alta,🔵 Tendência de Alta,ALTA,NEUTRO,NENHUM,,False,False,11876375,Utilities
YDUQ3.SA,YDUQS PART  ON      NM,10.09,100.0,63.97,🔵 Alta,🔵 Tendência de Alta,ALTA,NEUTRO,NENHUM,,False,False,5712710,Consumer Defensive
TIMS3.SA,TIM         ON      NM,19.54,100.0,33.24,🔵 Alta,🔵 Tendência de Alta,ALTA,NEUTRO,NENHUM,,False,False,7255485,Communication Services
UGPA3.SA,ULTRAPAR    ON      NM,38.53,100.0,82.44,🔴 Sobrecompra,🔵 Tendência de Alta,ALTA,SAÍDA,SOBRECOMPRA,2026-09-06,True,False,11492370,Energy
PMAM3.SA,PARANAPANEMAON      NM,0.9,100.0,13.05,🔵 Alta,🔵 Tendência de Alta,ALTA,NEUTRO,NENHUM,,False,False,19126170,Basic Materials
CPFE3.SA,CPFL ENERGIAON      NM,46.44,100.0,56.31,🔵 Alta,🔵 Tendência de Alta,ALTA,NEUTRO,NENHUM,,False,False,1913370,Utilities
VALE3.SA,VALE        ON      NM,78.23,100.0,62.27,🔵 Alta,🔵 Tendência de Alta,ALTA,NEUTRO,NENHUM,,False,False,20137925,Basic Materials
TTEN3.SA,3TENTOS     ON      NM,11.79,100.0,22.87,🔵 Alta,🔵 Tendência de Alta,ALTA,NEUTRO,NENHUM,,False,False,2188720,Basic Materials
LIGT3.SA,LIGHT S/A   ON      NM,3.75,100.0,88.38,🔴 Sobrecompra,🔵 Tendência de Alta,ALTA,SAÍDA,SOBRECOMPRA,2026-08-30,True,False,4181910,Utilities
PGMN3.SA,PAGUE MENOS ON      NM,3.83,100.0,87.09,🔴 Sobrecompra,🔵 Tendência de Alta,ALTA,SAÍDA,SOBRECOMPRA,2026-09-06,True,False,4147025,Healthcare
CPLE3.SA,COPEL       ON      NM,16.14,100.0,59.14,🔵 Alta,🔵 Tendência de Alta,ALTA,NEUTRO,NENHUM,,False,False,20705935,Utilities
